sepal_length,sepal_width,petal_length,petal_width,class
3.745401188,9.507143064,7.319939418,5.986584842,0
1.560186404,1.559945203,0.580836122,8.661761458,1
6.011150117,7.080725778,0.205844943,9.699098522,0
8.324426408,2.123391107,1.818249672,1.834045099,0
3.04242243,5.247564316,4.319450186,2.912291402,1
6.118528947,1.394938607,2.921446485,3.663618433,0
4.560699842,7.851759614,1.996737822,5.142344384,1
5.924145689,0.464504127,6.075448519,1.705241237,0
0.65051593,9.488855373,9.656320331,8.083973481,2
3.046137692,0.97672114,6.842330265,4.401524937,2
1.220382348,4.951769101,0.343885211,9.093204021,0
2.587799816,6.625222844,3.117110761,5.200680212,0
5.467102793,1.848544555,9.695846278,7.751328234,0
9.394989416,8.948273504,5.978999788,9.21874235,2
0.884925021,1.959828624,0.452272889,3.253303308,0
3.886772897,2.713490318,8.287375092,3.567533267,2
2.809345097,5.426960832,1.40924225,8.021969808,1
0.745506437,9.868869366,7.722447693,1.987156815,2
0.055221171,8.154614285,7.068573438,7.29007168,2
7.712703467,0.740446517,3.584657285,1.158690595,1
8.631034259,6.232981268,3.308980249,0.635583503,2
3.109823217,3.25183322,7.296061783,6.375574714,0
8.872127426,4.722149252,1.195942459,7.132447872,0
7.607850486,5.612771976,7.7096718,4.937955964,2
5.227328294,4.275410184,0.254191267,1.07891427,0
0.314291857,6.364104113,3.143559811,5.085706912,2
9.075664739,2.492922291,4.10382923,7.555511385,0
2.287981655,0.769799098,2.897514529,1.612212873,0
9.296976523,8.081203796,6.334037565,8.714605902,2
8.036720769,1.865700589,8.925589985,5.393422419,0
8.074401552,8.960912999,3.18003475,1.100519245,2
2.279351625,4.271077886,8.180147659,8.607305833,0
0.069521305,5.107473026,4.174110031,2.221078105,0
1.198653673,3.376151714,9.429097039,3.23202932,1
5.187906217,7.030189589,3.636296024,9.717820827,1
9.624472949,2.517822958,4.972485059,3.008783098,2
2.848404944,0.368869474,6.09564334,5.026790232,1
0.514787512,2.786464642,9.08265886,2.395618907,2
1.448948721,4.894527603,9.856504541,2.420552715,1
6.721355474,7.616196153,2.37637544,7.282163486,0
3.677831327,6.323058306,6.335297108,5.357746841,2
0.902897701,8.353024956,3.20780065,1.865185104,2
0.407751416,5.908929432,6.775643618,0.165878289,0
5.120930583,2.264957752,6.451727904,1.74366429,2
6.909377381,3.867353463,9.367299887,1.375209441,2
3.410663511,1.134735212,9.246936183,8.773393534,1
2.579416277,6.59984046,8.172222002,5.552008116,2
5.296505784,2.418522909,0.931027678,8.97215758,0
9.004180572,6.331014573,3.39029791,3.492095746,1
7.259556789,8.9711026,8.870864243,7.798755459,1
6.420316462,0.84139965,1.616287141,8.985541885,0
6.064290597,0.091970516,1.014715429,6.635017691,0
0.050615838,1.608080514,5.487337894,6.918951977,1
6.519612595,2.242693095,7.121792213,2.372490875,2
3.253996982,7.464914051,6.49632899,8.492234105,1
6.576128923,5.683086033,0.936747678,3.677158031,0
2.652023677,2.439896434,9.730105548,3.930977247,1
8.920465552,6.31138626,7.948113035,5.026370931,0
5.769038846,4.925176938,1.952429878,7.224521153,1
2.807723624,0.243159664,6.454722959,1.771106794,2
9.404585844,9.53928577,9.148643902,3.701587003,1
0.154566165,9.283185626,4.281841483,9.66654819,1
9.636199771,8.530094555,2.944488921,3.850977286,0
8.511366715,3.169220052,1.694927467,5.568012625,0
9.361547742,6.960297967,5.700611701,0.971764938,0
6.150072267,9.900538501,1.400840152,5.183296524,1
8.773730719,7.407686178,6.97015741,7.02484084,2
3.594911512,2.935918443,8.093611555,8.101133947,0
8.670723186,9.132405526,5.113423989,5.015162947,0
7.98295179,6.499639308,7.019668773,7.957926694,1
8.900053418,3.379951569,3.755829526,0.939819398,0
5.78280141,0.359422738,4.655980181,5.426446347,2
2.865412521,5.908332606,0.305002499,0.373481887,2
8.226005607,3.601906414,1.270605127,5.222432601,0
7.699935531,2.158210275,6.228904758,0.85347465,0
0.516817212,5.313546316,5.406351216,6.374299015,1
7.260913337,9.758520795,5.163003483,3.229564729,2
7.951861948,2.708322513,4.389714207,0.784563813,2
0.253507434,9.626484147,8.359801205,6.959742061,0
4.089529444,1.732943201,1.564370427,2.502428982,1
5.492266647,7.145959227,6.601973767,2.799338969,2
9.548652807,7.378969167,5.543540525,6.117207462,2
4.196000624,2.477309895,3.559726787,7.578461105,1
0.143934886,1.160726405,0.46002642,0.407288023,1
8.55460584,7.036578594,4.741738291,0.978341607,2
4.916158751,4.734717708,1.732018699,4.338516492,2
3.985047344,6.158500981,6.350936509,0.453040098,1
3.746126146,6.258599157,5.031362586,8.564898412,2
6.586936316,1.629344271,0.705687474,6.424192782,0
0.265113105,5.857755813,9.402302414,5.754741779,0
3.881699262,6.432882184,4.582528905,5.456167893,1
9.414648088,3.861026378,9.611905638,9.05350642,1
1.957911348,0.693613009,1.007780014,0.182218257,1
0.944429608,6.830067734,0.711886485,3.189756303,0
8.44875311,0.232719357,8.144684826,2.818547748,2
1.181648276,6.967371654,6.289428468,8.774720135,0
7.350710438,8.034809304,2.820345726,1.774395438,2
7.506147516,8.068347393,9.90505142,4.126176769,0
3.720180858,7.764129607,3.408035403,9.307573256,2
8.584127518,4.289940274,7.508710678,7.545428741,0
